date,product_category,units_sold,revenue
2024-07-18,Electronics,5,1760.86
2024-07-18,Electronics,8,3463.75
2024-07-19,Groceries,4,229.25
2024-07-20,Electronics,12,538.34
2024-07-21,Groceries,8,834.99
2024-07-21,Electronics,3,1105.21
2024-07-22,Groceries,8,543.89
2024-07-23,Groceries,11,697.89
2024-07-23,Groceries,6,558.57
2024-07-24,Books,6,106.63
2024-07-25,Apparel,4,374.16
2024-07-26,Apparel,6,274.51
2024-07-26,Home Goods,11,1495.54
2024-07-27,Apparel,9,609.69
2024-07-28,Groceries,4,203.05
2024-07-29,Apparel,6,104.68
2024-07-29,Electronics,4,769.07
2024-07-30,Home Goods,7,550.53
2024-07-31,Home Goods,10,1534.68
2024-08-01,Groceries,6,277.48
2024-08-01,Groceries,9,520.89
2024-08-02,Home Goods,11,739.54
2024-08-03,Home Goods,4,508.13
2024-08-03,Groceries,6,348.2
2024-08-04,Electronics,10,1553.25
2024-08-05,Groceries,3,179.2
2024-08-06,Groceries,8,219.42
2024-08-06,Groceries,10,582.77
2024-08-07,Apparel,4,608.85
2024-08-08,Groceries,10,470.81
2024-08-09,Groceries,3,126.41
2024-08-09,Groceries,2,114.62
2024-08-10,Apparel,9,628.81
2024-08-11,Groceries,7,546.51
2024-08-11,Electronics,3,644.31
2024-08-12,Apparel,10,736.21
2024-08-13,Books,3,67.09
2024-08-14,Groceries,5,511.87
2024-08-14,Apparel,8,653.43
2024-08-15,Apparel,4,342.79
2024-08-16,Groceries,6,168.69
2024-08-17,Groceries,7,231.82
2024-08-17,Books,4,35.01
2024-08-18,Electronics,10,677.57
2024-08-19,Apparel,6,493.66
2024-08-20,Groceries,3,201.19
2024-08-20,Books,9,105.36
2024-08-21,Groceries,6,221.21
2024-08-22,Electronics,5,635.89
2024-08-22,Home Goods,5,652.72
2024-08-23,Apparel,8,974.26
2024-08-24,Books,8,126.26
2024-08-25,Groceries,8,203.04
2024-08-25,Apparel,10,610.04
2024-08-26,Books,7,35.0
2024-08-27,Groceries,4,210.5
2024-08-28,Groceries,6,256.38
2024-08-28,Apparel,4,495.79
2024-08-29,Groceries,6,167.14
2024-08-30,Groceries,5,85.63
2024-08-30,Books,4,118.62
2024-08-31,Groceries,6,258.06
2024-09-01,Electronics,8,40.0
2024-09-02,Groceries,6,196.92
2024-09-02,Apparel,7,757.59
2024-09-03,Electronics,6,2094.84
2024-09-04,Electronics,6,2297.24
2024-09-05,Groceries,5,368.08
2024-09-05,Home Goods,7,682.03
2024-09-06,Electronics,11,952.95
2024-09-07,Electronics,8,3865.08
2024-09-08,Groceries,5,369.24
2024-09-08,Electronics,5,1204.26
2024-09-09,Groceries,9,403.64
2024-09-10,Electronics,4,2032.81
2024-09-10,Home Goods,3,191.98
2024-09-11,Electronics,10,1082.88
2024-09-12,Books,9,307.6
2024-09-13,Electronics,6,2001.7
2024-09-13,Home Goods,6,1148.31
2024-09-14,Electronics,9,1068.66
2024-09-15,Home Goods,7,1427.96
2024-09-16,Electronics,5,1928.67
2024-09-16,Books,4,114.81
2024-09-17,Home Goods,5,224.62
2024-09-18,Groceries,4,121.52
2024-09-18,Home Goods,4,664.35
2024-09-19,Home Goods,2,164.8
2024-09-20,Home Goods,4,551.16
2024-09-21,Home Goods,5,712.51
2024-09-21,Apparel,4,557.13
2024-09-22,Groceries,5,75.45
2024-09-23,Home Goods,8,1068.74
2024-09-24,Groceries,4,152.73
2024-09-24,Apparel,6,677.48
2024-09-25,Books,5,111.68
2024-09-26,Electronics,8,2478.01
2024-09-27,Home Goods,5,747.28
2024-09-27,Groceries,6,283.13
2024-09-28,Electronics,5,709.81
2024-09-29,Home Goods,4,840.11
2024-09-29,Groceries,5,392.58
2024-09-30,Electronics,4,791.07
2024-10-01,Books,8,104.12
2024-10-02,Electronics,6,1689.26
2024-10-02,Home Goods,6,953.31
2024-10-03,Groceries,9,575.94
2024-10-04,Home Goods,9,1478.15
2024-10-05,Groceries,6,331.47
2024-10-05,Home Goods,3,489.77
2024-10-06,Groceries,10,641.15
2024-10-07,Apparel,7,721.56
2024-10-07,Groceries,7,407.71
2024-10-08,Groceries,5,123.73
2024-10-09,Groceries,6,108.02
2024-10-10,Books,5,78.46
2024-10-10,Groceries,5,88.86
2024-10-11,Apparel,4,252.17
2024-10-12,Groceries,6,381.49
2024-10-13,Groceries,8,90.51
2024-10-13,Home Goods,2,230.5
2024-10-14,Home Goods,5,1319.01
2024-10-15,Groceries,9,839.76
2024-10-16,Home Goods,5,176.89
2024-10-16,Home Goods,5,758.04
2024-10-17,Books,5,73.33
2024-10-18,Electronics,7,2028.97
2024-10-18,Home Goods,9,45.0
2024-10-19,Apparel,8,302.27
2024-10-20,Home Goods,4,346.37
2024-10-21,Groceries,8,251.44
2024-10-21,Electronics,5,25.0
2024-10-22,Groceries,4,295.32
2024-10-23,Groceries,5,477.93
2024-10-24,Apparel,7,698.35
2024-10-24,Electronics,5,431.58
2024-10-25,Groceries,5,91.27
2024-10-26,Electronics,3,678.05
2024-10-26,Apparel,8,263.91
2024-10-27,Home Goods,11,55.0
2024-10-28,Electronics,4,2096.45
2024-10-29,Electronics,6,1063.19
2024-10-29,Groceries,5,269.54
2024-10-30,Groceries,5,585.05
2024-10-31,Groceries,6,235.13
2024-11-01,Groceries,4,296.44
2024-11-01,Groceries,5,324.22
2024-11-02,Electronics,8,40.0
2024-11-03,Apparel,4,344.98
2024-11-04,Groceries,2,54.24
2024-11-04,Electronics,1,88.74
2024-11-05,Electronics,6,2128.65
2024-11-06,Apparel,5,398.36
2024-11-06,Groceries,5,43.6
2024-11-07,Apparel,1,78.92
2024-11-08,Groceries,8,429.8
2024-11-09,Books,7,258.27
2024-11-09,Groceries,3,194.72
2024-11-10,Home Goods,4,47.55
2024-11-11,Electronics,8,2325.94
2024-11-12,Electronics,5,48.22
2024-11-12,Groceries,6,208.08
2024-11-13,Apparel,4,233.26
2024-11-14,Groceries,5,213.06
2024-11-14,Groceries,7,228.38
2024-11-15,Home Goods,11,274.11
2024-11-16,Apparel,5,476.21
2024-11-17,Groceries,7,434.79
2024-11-17,Groceries,7,531.57
2024-11-18,Electronics,4,868.96
2024-11-19,Home Goods,6,520.56
2024-11-20,Groceries,9,901.68
2024-11-20,Apparel,9,1661.76
2024-11-21,Groceries,3,120.45
2024-11-22,Home Goods,7,635.02
2024-11-23,Groceries,6,216.51
2024-11-23,Groceries,5,150.89
2024-11-24,Books,3,15.0
2024-11-25,Groceries,6,295.23
2024-11-25,Apparel,7,364.2
2024-11-26,Groceries,6,257.44
2024-11-27,Electronics,10,4849.61
2024-11-28,Apparel,11,106.62
2024-11-28,Groceries,1,60.5
2024-11-29,Electronics,4,20.0
2024-11-30,Groceries,10,592.35
2024-12-01,Electronics,4,1798.21
2024-12-01,Groceries,5,35.98
2024-12-02,Groceries,4,314.53
2024-12-03,Apparel,6,883.74
2024-12-03,Groceries,7,631.37
2024-12-04,Groceries,6,476.93
2024-12-05,Groceries,8,287.73
2024-12-06,Groceries,11,936.25
2024-12-06,Apparel,11,1117.89
2024-12-07,Groceries,6,283.74
2024-12-08,Electronics,6,2036.9
2024-12-09,Groceries,7,451.08
2024-12-09,Groceries,5,346.76
2024-12-10,Electronics,4,1883.03
2024-12-11,Electronics,4,411.04
2024-12-12,Groceries,2,137.62
2024-12-12,Apparel,7,414.82
2024-12-13,Apparel,4,235.82
2024-12-14,Groceries,8,635.13
2024-12-14,Groceries,4,373.77
2024-12-15,Electronics,6,1181.16
2024-12-16,Groceries,6,330.6
2024-12-17,Groceries,5,453.85
2024-12-17,Home Goods,4,764.85
2024-12-18,Books,3,75.78
2024-12-19,Home Goods,7,843.92
2024-12-20,Groceries,8,545.81
2024-12-20,Home Goods,4,376.84
2024-12-21,Electronics,7,1852.13
2024-12-22,Electronics,5,2207.8
2024-12-22,Electronics,1,244.68
2024-12-23,Home Goods,5,1041.61
2024-12-24,Groceries,7,468.76
2024-12-25,Electronics,8,1870.94
2024-12-25,Home Goods,6,745.84
2024-12-26,Electronics,5,25.0
2024-12-27,Home Goods,4,98.15
2024-12-28,Apparel,5,169.46
2024-12-28,Electronics,4,659.08
2024-12-29,Apparel,4,305.99
2024-12-30,Electronics,10,2686.97
2024-12-31,Home Goods,5,917.93
